title,price,datetime,nb_rooms,nb_baths,surface_area,link,city_name,equipements
appartement Tanger  64m**2,302591,2024-12-30 00:46:49,4,2,64,https://example.com/property1,Tanger,Ascenseur/Balcon
appartement Meknès  197m**2,286565,2024-12-26 21:17:05,1,1,197,https://example.com/property2,Casablanca,Vue mer/Ascenseur
appartement Marrakech  207m**2,219064,2024-11-05 09:20:28,3,2,207,https://example.com/property3,Tanger,Ascenseur
appartement Marrakech  117m**2,293296,2024-12-06 14:38:11,3,1,117,https://example.com/property4,Agadir,Piscine/Jardin/Spa
appartement Agadir  136m**2,297683,2024-11-19 22:38:22,2,2,136,https://example.com/property5,Fès,Piscine/Garage
appartement Casablanca  200m**2,336777,2024-12-03 14:59:55,4,3,200,https://example.com/property6,Fès,Jardin/Garage
appartement Agadir  124m**2,185219,2024-12-01 10:21:37,2,1,124,https://example.com/property7,Agadir,Jardin/Garage
appartement Rabat  65m**2,269202,2024-12-17 21:33:28,2,2,65,https://example.com/property8,Agadir,Piscine/Sauna/Garage
appartement Meknès  122m**2,176498,2024-11-30 20:23:01,1,1,122,https://example.com/property9,Casablanca,Ascenseur/Balcon
appartement Marrakech  209m**2,221674,2024-12-08 11:36:18,2,2,209,https://example.com/property10,Agadir,Vue mer/Ascenseur
appartement Casablanca  74m**2,50000,2024-11-09 07:30:27,3,2,74,https://example.com/property11,Meknès,Meubles/Ascenseur
appartement Agadir  204m**2,379333,2024-12-08 04:33:32,2,2,204,https://example.com/property12,Agadir,Ascenseur/Balcon
appartement Tanger  155m**2,303392,2024-12-03 19:24:01,3,1,155,https://example.com/property13,Casablanca,Balcon/Ascenseur
appartement Rabat  134m**2,333212,2024-12-02 07:03:10,3,1,134,https://example.com/property14,Rabat,Ascenseur
appartement Tanger  161m**2,184696,2024-11-16 02:08:50,2,1,161,https://example.com/property15,Fès,Jardin/Garage
appartement Rabat  170m**2,296247,2024-12-07 03:29:40,1,1,170,https://example.com/property16,Rabat,Ascenseur
appartement Meknès  183m**2,431025,2024-11-25 00:50:40,1,1,183,https://example.com/property17,Tanger,Meubles/Ascenseur
appartement Marrakech  159m**2,200277,2024-11-25 13:11:33,2,2,159,https://example.com/property18,Casablanca,Jardin/Garage
appartement Meknès  214m**2,248655,2024-11-17 00:51:44,3,1,214,https://example.com/property19,Rabat,Garage/Jardin
appartement Casablanca  140m**2,147518,2024-12-24 06:17:38,1,1,140,https://example.com/property20,Agadir,Meubles/Ascenseur
appartement Rabat  160m**2,227486,2024-11-13 05:52:26,3,1,160,https://example.com/property21,Meknès,Piscine/Jardin/Spa
appartement Rabat  159m**2,270650,2024-11-15 11:48:57,2,1,159,https://example.com/property22,Casablanca,Garage/Jardin
appartement Meknès  48m**2,253220,2024-12-11 12:40:54,2,1,48,https://example.com/property23,Meknès,Jardin/Garage
appartement Marrakech  169m**2,220461,2024-11-14 01:48:03,2,1,169,https://example.com/property24,Marrakech,Balcon/Meubles
appartement Rabat  182m**2,313042,2024-12-11 01:40:26,1,1,182,https://example.com/property25,Meknès,Ascenseur
